day,events,time,pedestrians,traffic,speed,rain,fog,clouds
Wednesday,False,afternoon,medium,low,medium,no,no,heavy
Wednesday,False,early evening,medium,low,medium,no,moderate,heavy
Wednesday,False,early morning,low,low,medium,no,no,heavy
Wednesday,False,evening,low,low,medium,no,heavy,heavy
Wednesday,False,late evening,low,low,medium,no,heavy,heavy
Wednesday,False,late morning,medium,low,medium,no,no,heavy
Wednesday,False,morning,medium,low,medium,no,no,heavy
Wednesday,False,night,low,low,medium,no,no,heavy
Thursday,False,afternoon,high,low,medium,no,moderate,light
Thursday,False,early evening,low,low,medium,no,no,no
Thursday,False,early morning,low,low,medium,light,heavy,heavy
Thursday,False,evening,low,low,medium,no,no,no
Thursday,False,late evening,low,low,medium,no,no,no
Thursday,False,late morning,high,low,medium,no,heavy,heavy
Thursday,False,morning,medium,low,medium,light,heavy,heavy
Thursday,False,night,low,low,medium,light,heavy,heavy
Friday,False,afternoon,high,low,medium,no,no,heavy
Friday,False,early evening,low,low,medium,no,no,heavy
Friday,False,early morning,low,low,medium,no,no,heavy
Friday,False,evening,low,low,medium,no,no,heavy
Friday,False,late evening,low,low,medium,no,no,heavy
Friday,False,late morning,high,low,medium,no,no,heavy
Friday,False,morning,medium,low,medium,no,no,heavy
Friday,False,night,low,low,medium,no,no,heavy
Saturday,False,afternoon,high,low,medium,no,no,heavy
Saturday,False,early evening,low,low,medium,no,no,heavy
Saturday,False,early morning,low,low,medium,no,no,heavy
Saturday,False,evening,low,low,medium,no,no,heavy
Saturday,False,late evening,low,low,medium,no,no,heavy
Saturday,False,late morning,high,low,medium,no,no,heavy
Saturday,False,morning,medium,low,high,no,no,heavy
Saturday,False,night,low,low,medium,no,no,heavy
Sunday,False,afternoon,medium,low,medium,light,heavy,heavy
Sunday,False,early evening,low,low,medium,light,heavy,no
Sunday,False,early morning,low,low,medium,light,heavy,heavy
Sunday,False,evening,low,low,medium,no,heavy,no
Sunday,False,late evening,low,low,medium,no,heavy,no
Sunday,False,late morning,medium,low,medium,moderate,heavy,heavy
Sunday,False,morning,low,low,high,light,heavy,heavy
Sunday,False,night,low,low,medium,no,no,heavy
Monday,False,afternoon,medium,low,medium,no,no,no
Monday,False,early evening,low,low,medium,no,no,no
Monday,False,early morning,low,low,medium,no,no,no
Monday,False,evening,low,low,medium,no,no,no
Monday,False,late evening,low,low,medium,no,no,no
Monday,False,late morning,medium,low,medium,no,no,no
Monday,False,morning,medium,low,medium,no,no,no
Monday,False,night,low,low,medium,no,moderate,no
Tuesday,False,afternoon,medium,low,medium,no,no,light
Tuesday,False,early evening,low,low,medium,no,light,no
Tuesday,False,early morning,low,low,medium,no,no,no
Tuesday,False,evening,low,low,medium,no,no,no
Tuesday,False,late evening,low,low,medium,no,no,no
Tuesday,False,late morning,medium,low,low,no,no,no
Tuesday,False,morning,medium,low,low,no,no,no
Tuesday,False,night,low,low,medium,no,no,no
Wednesday,False,afternoon,medium,medium,medium,no,no,moderate
Wednesday,False,early evening,low,medium,medium,no,light,no
Wednesday,False,early morning,low,low,medium,no,no,no
Wednesday,False,evening,low,medium,medium,no,light,no
Wednesday,False,late evening,low,medium,medium,no,moderate,no
Wednesday,False,late morning,medium,medium,medium,no,no,light
Wednesday,False,morning,medium,medium,medium,no,no,no
Wednesday,False,night,low,low,medium,no,no,no
Thursday,False,afternoon,medium,medium,medium,no,no,light
Thursday,False,early evening,low,medium,medium,no,no,no
Thursday,False,early morning,low,medium,medium,no,heavy,light
Thursday,False,evening,low,medium,medium,no,no,moderate
Thursday,False,late evening,low,medium,medium,no,no,light
Thursday,False,late morning,medium,medium,medium,no,no,light
Thursday,False,morning,medium,medium,low,no,heavy,light
Thursday,False,night,low,low,medium,no,heavy,no
Friday,False,afternoon,medium,medium,medium,no,heavy,no
Friday,False,early evening,low,medium,medium,no,heavy,moderate
Friday,False,early morning,low,low,medium,no,no,heavy
Friday,False,evening,low,medium,medium,no,heavy,heavy
Friday,False,late evening,low,medium,medium,no,heavy,heavy
Friday,False,late morning,medium,medium,medium,no,no,light
Friday,False,morning,medium,medium,low,no,no,heavy
Friday,False,night,low,low,medium,no,no,moderate
Saturday,False,afternoon,high,medium,medium,no,heavy,no
Saturday,False,early evening,medium,medium,medium,no,moderate,no
Saturday,False,early morning,low,low,medium,light,heavy,heavy
Saturday,False,evening,low,medium,medium,no,moderate,no
Saturday,False,late evening,low,medium,medium,no,heavy,no
Saturday,False,late morning,medium,medium,medium,no,heavy,heavy
Saturday,False,morning,medium,medium,medium,no,heavy,heavy
Saturday,False,night,low,medium,medium,no,heavy,heavy
Sunday,False,afternoon,high,medium,medium,no,no,moderate
Sunday,False,early evening,low,medium,medium,no,heavy,moderate
Sunday,False,early morning,low,low,medium,no,light,heavy
Sunday,False,evening,low,medium,medium,no,heavy,heavy
Sunday,False,late evening,low,low,medium,light,light,heavy
Sunday,False,late morning,high,medium,medium,no,no,no
Sunday,False,morning,medium,medium,medium,no,no,no
Sunday,False,night,low,medium,medium,no,heavy,light
Monday,False,afternoon,high,medium,medium,no,light,no
Monday,False,early evening,medium,medium,medium,no,no,no
Monday,False,early morning,low,low,medium,light,heavy,heavy
Monday,False,evening,low,medium,medium,no,light,no
Monday,False,late evening,low,low,medium,no,light,no
Monday,False,late morning,medium,medium,medium,no,heavy,no
Monday,False,morning,medium,medium,medium,no,heavy,heavy
Monday,False,night,low,low,medium,light,moderate,heavy
Tuesday,False,afternoon,medium,medium,medium,no,no,no
Tuesday,False,early evening,medium,medium,medium,no,light,no
Tuesday,False,early morning,low,low,medium,no,no,no
Tuesday,False,evening,low,medium,medium,no,no,no
Tuesday,False,late evening,low,medium,medium,no,no,no
Tuesday,False,late morning,medium,medium,medium,no,no,no
Tuesday,False,morning,medium,medium,medium,no,no,no
Tuesday,False,night,low,low,medium,no,no,no
Wednesday,False,afternoon,medium,low,medium,no,light,no
Wednesday,False,early evening,low,low,medium,no,no,no
Wednesday,False,early morning,low,low,medium,no,no,no
Wednesday,False,evening,low,low,medium,no,no,no
Wednesday,False,late evening,low,low,medium,no,no,no
Wednesday,False,late morning,medium,low,medium,no,no,no
Wednesday,False,morning,medium,low,low,no,no,no
Wednesday,False,night,low,low,medium,no,no,no
Thursday,False,afternoon,medium,low,medium,no,moderate,no
Thursday,False,early evening,medium,low,medium,no,heavy,no
Thursday,False,early morning,low,low,high,no,no,no
Thursday,False,evening,low,low,medium,no,light,no
Thursday,False,late evening,low,low,medium,no,light,no
Thursday,False,late morning,medium,low,medium,no,light,no
Thursday,False,morning,medium,low,low,no,no,no
Thursday,False,night,low,low,medium,no,no,no
Friday,False,afternoon,high,medium,medium,no,no,heavy
Friday,False,early evening,medium,medium,medium,no,no,heavy
Friday,False,early morning,low,low,medium,no,no,heavy
Friday,False,evening,low,low,medium,no,no,moderate
